pH,Turbidez,Temperatura,TDS,ORP,OD,Etiqueta
7.2,1.0,24.4,213.0,1000.0,6.4,Anomalia de Hardware
8.3,17.0,31.7,691.0,-103.0,2.6,Anomalia Biologica/Estancamiento
7.4,1.0,28.2,649.0,496.0,8.4,Agua Segura
6.1,7.0,30.7,543.0,-75.0,2.5,Anomalia Biologica/Estancamiento
7.6,2.0,21.7,671.0,414.0,8.7,Agua Segura
7.7,0.0,21.2,720.0,157.0,5.1,Agua Segura
4.8,9.0,19.9,1000.0,-773.0,3.3,Anomalia Quimica
7.3,0.0,16.4,277.0,1000.0,9.2,Anomalia de Hardware
8.1,2.0,28.2,465.0,427.0,9.5,Agua Segura
7.5,1.0,23.8,414.0,255.0,7.5,Agua Segura
7.2,0.0,23.5,703.0,522.0,7.0,Agua Segura
8.3,2.0,24.6,757.0,559.0,6.7,Agua Segura
7.1,1.0,17.6,642.0,485.0,9.9,Agua Segura
7.1,1.0,17.1,743.0,507.0,6.0,Agua Segura
7.8,1.0,19.5,617.0,124.0,5.6,Agua Segura
6.6,2.0,18.0,700.0,343.0,9.2,Agua Segura
6.9,0.0,24.5,639.0,152.0,5.2,Agua Segura
6.6,0.0,26.3,710.0,497.0,6.7,Agua Segura
7.7,1.0,16.1,699.0,295.0,9.3,Agua Segura
6.7,2.0,18.9,135.0,392.0,6.7,Agua Segura
7.4,92.0,17.3,319.0,313.0,4.2,Anomalia Fisica
6.7,0.0,23.1,132.0,384.0,9.7,Agua Segura
6.5,23.0,25.1,297.0,17.0,2.0,Anomalia Biologica/Estancamiento
7.4,3.0,14.8,1000.0,448.0,9.8,Agua Segura
7.9,1.0,15.9,675.0,214.0,6.3,Agua Segura
6.9,2.0,23.0,596.0,212.0,8.5,Agua Segura
8.1,2.0,16.4,254.0,540.0,7.2,Agua Segura
7.9,34.0,20.2,791.0,215.0,5.4,Anomalia Fisica
5.2,7.0,25.7,1000.0,-279.0,3.8,Anomalia Quimica
6.6,160.0,19.6,364.0,383.0,7.4,Anomalia Fisica
7.5,4.0,25.0,1000.0,557.0,7.9,Agua Segura
2.9,11.0,17.2,1000.0,-347.0,2.7,Anomalia Quimica
6.8,28.0,34.7,369.0,-64.0,1.6,Anomalia Biologica/Estancamiento
8.1,13.0,25.6,253.0,-96.0,1.4,Anomalia Biologica/Estancamiento
6.6,15.0,25.7,242.0,2.0,0.6,Anomalia Biologica/Estancamiento
6.4,18.0,27.7,209.0,23.0,3.0,Anomalia Biologica/Estancamiento
6.9,20.0,32.6,674.0,-16.0,2.5,Anomalia Biologica/Estancamiento
3.4,8.0,25.4,1000.0,-509.0,2.8,Anomalia Quimica
7.7,1.0,19.0,559.0,551.0,6.6,Agua Segura
8.2,1.0,27.3,265.0,599.0,7.7,Agua Segura
12.6,0.0,19.9,689.0,333.0,6.2,Anomalia de Hardware
7.8,3.0,19.7,781.0,278.0,8.9,Agua Segura
8.4,19.0,21.8,898.0,302.0,7.5,Anomalia Fisica
